,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2010-05-18,27577262,7839781,2967791,2967665,0.2842842411258957,0.10761731893470787,0.1076127499532042
2010-05-19,27568253,7840001,2946593,2946462,0.28438512226364143,0.10688355914319271,0.10687880730055692
2010-05-20,27709192,7847547,2935064,2934693,0.28321096479464286,0.10592383928048137,0.10591045022171704
2010-05-21,29495761,8757097,3283139,3281765,0.2968934078357904,0.11130884197224136,0.11126225900731973
2010-05-22,27222000,7975023,3123503,3122735,0.29296242010138857,0.11474186319888326,0.11471365072367938
2010-05-23,21183899,5765247,2438137,2437919,0.27215230775033433,0.11509387388978772,0.1150835830552251
2010-05-24,27452364,7917559,3050133,3049474,0.2884108268417248,0.11110638777775203,0.11108238255911221
2010-05-25,27578436,7721525,2925187,2925073,0.27998415138552457,0.10606790754921708,0.10606377388478447
2010-05-26,26965177,7629433,2871568,2871429,0.282936507333143,0.10649171707643529,0.10648656227993608
2010-05-27,26949668,7839066,2943468,2943357,0.2908780174954289,0.10922093734141734,0.10921681855227307
2010-05-28,30100888,8948876,3330022,3329890,0.29729607977013833,0.11062869640257789,0.11062431114989033
2010-05-29,28426081,8307152,3239370,3239223,0.2922369777247873,0.11395767147782349,0.11395250017053002
2010-05-30,22012184,6017104,2522038,2521897,0.27335333922340466,0.11457463739172814,0.11456823184832546
2010-05-31,28446796,8329611,3139121,3138950,0.29281367926285967,0.11035059976526003,0.11034458854346901
2010-06-01,27511573,8057986,3014855,3014699,0.2928944121079518,0.10958497356730566,0.1095793032263186
2010-06-02,27025522,7927179,2950733,2950605,0.29332195692649343,0.10918320097572953,0.10917846471198595
2010-06-03,26806904,7946055,2958972,2958851,0.2964182286772094,0.11038096752985724,0.11037645376728324
2010-06-04,29394946,8881460,3295470,3295319,0.30214241591054464,0.11211008858461587,0.1121049516471301
2010-06-05,27195998,8096625,3150216,3150094,0.2977138401025033,0.11583380760654564,0.11582932165239901
2010-06-06,20672752,5822661,2410222,2410139,0.2816587264240388,0.11658931524936786,0.11658530030254317
2010-06-07,27965635,7996929,3042538,3042398,0.28595556653728765,0.10879559859806509,0.1087905924539171
2010-06-08,27161946,7744373,2922034,2921910,0.28511848893300945,0.10757822727429028,0.10757366206383004
2010-06-09,26744607,7863261,2949773,2949657,0.29401295745344097,0.11029412397048871,0.11028978664745383
2010-06-10,26804409,7930937,2973743,2973531,0.29588180810104786,0.11094230803596528,0.11093439888937674
2010-06-11,27720781,8343841,3139202,3138974,0.3009958846397582,0.11324363480235279,0.11323540992586031
2010-06-12,26325560,7756084,3031899,3031751,0.2946218048163078,0.11516940190446091,0.11516377999176466
2010-06-13,20708317,5756760,2441238,2441102,0.2779926538694574,0.11788683744796837,0.11788027003836188
